Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
1607,4,7,62.1,61.83,61.83,62.64000000000001,-832.201020000005,398.31102,-0.008339130434782694,2025-09-12 13:00:00+00:00,2025-09-12 16:00:00+00:00,0 days 03:00:00,,,,,,,,,
-1608,9,16,61.54,61.89,,,-959.7508800000022,396.95088,-0.00969873253168667,2025-09-12 18:00:00+00:00,2025-09-15 02:00:00+00:00,2 days 08:00:00,,,61.84,,61.74,,,,
1584,20,21,61.84,61.74,61.74,62.040000000000006,-549.9014400000023,391.50144,-0.005613842173350603,2025-09-15 06:00:00+00:00,2025-09-15 07:00:00+00:00,0 days 01:00:00,,,,,,,,,
1566,29,31,62.2,62.1,,,-545.9076000000023,389.30760000000004,-0.005604501607717026,2025-09-15 15:00:00+00:00,2025-09-15 17:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1558,31,38,62.18,62.32,62.32,61.9,-606.0620000000009,387.942,-0.006256030878095763,2025-09-15 17:00:00+00:00,2025-09-16 01:00:00+00:00,0 days 08:00:00,,,,,,,,,
1546,40,42,62.28,62.21,62.21,62.42,-493.14308000000045,384.92308,-0.005121708413615957,2025-09-16 03:00:00+00:00,2025-09-16 05:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1541,45,48,62.16,62.42,62.42,61.639999999999986,-784.6155600000079,383.95556,-0.008191119691119665,2025-09-16 08:00:00+00:00,2025-09-16 11:00:00+00:00,0 days 03:00:00,,,62.16,,62.07,,,,
1514,51,52,62.76,63.29999999999999,62.49,63.29999999999999,435.8503199999879,381.70968,0.004586998087954035,2025-09-16 14:00:00+00:00,2025-09-16 15:00:00+00:00,0 days 01:00:00,,,,,,,,,
1508,56,62,63.3,63.34,,,-321.62623999999056,381.94624,-0.003369352290679151,2025-09-16 19:00:00+00:00,2025-09-17 02:00:00+00:00,0 days 07:00:00,,,,,,,,,
-1501,66,67,63.39,63.19,63.49,63.19,-79.79315999999574,379.99316,-0.0008386180785612445,2025-09-17 06:00:00+00:00,2025-09-17 07:00:00+00:00,0 days 01:00:00,,,,,,,,,
-1506,69,73,63.1,63.07,,,-334.8440399999983,380.02404,-0.0035236133122028435,2025-09-17 09:00:00+00:00,2025-09-17 13:00:00+00:00,0 days 04:00:00,,,,,,,,,
1503,74,78,63.01,62.75,62.75,63.529999999999994,-768.8145599999971,378.03456,-0.008118076495794288,2025-09-17 14:00:00+00:00,2025-09-17 18:00:00+00:00,0 days 04:00:00,,,,,,,,,
-1494,80,87,62.88,62.76,,,-196.13231999999323,375.41232,-0.0020877862595418987,2025-09-17 20:00:00+00:00,2025-09-18 04:00:00+00:00,0 days 08:00:00,,,,,,,,,
1495,87,89,62.7,62.59,,,-539.0670999999992,374.61710000000005,-0.005750877192982462,2025-09-18 04:00:00+00:00,2025-09-18 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
