Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
1608,4,5,62.03,61.41,,63.19,-1393.9430400000074,396.98304,-0.013975173303240454,2025-09-12 16:00:00+00:00,2025-09-12 18:00:00+00:00,0 days 02:00:00,,,,,,,61.62,,62.05
-1591,7,14,61.85,62.17,62.17,60.51999999999999,-903.7516400000004,394.63164,-0.009184155214228027,2025-09-14 22:00:00+00:00,2025-09-15 12:00:00+00:00,0 days 14:00:00,,,,,,,,,
1574,16,20,61.94,62.31999999999999,61.75,62.31999999999999,206.94951999999284,391.17048,0.0021226993865030323,2025-09-15 16:00:00+00:00,2025-09-16 00:00:00+00:00,0 days 08:00:00,,,,,,,,,
1569,22,23,62.26,62.17,62.17,62.43999999999999,-531.6713399999942,390.46134,-0.005442659813684539,2025-09-16 04:00:00+00:00,2025-09-16 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1563,25,26,62.16,62.51,,61.639999999999986,-936.7684200000022,389.71842,-0.00964189189189189,2025-09-16 10:00:00+00:00,2025-09-16 12:00:00+00:00,0 days 02:00:00,,,62.49,,62.16,,,,
1520,29,37,63.3,62.94,,,-930.9695999999992,383.7696,-0.009675829383886204,2025-09-16 18:00:00+00:00,2025-09-17 10:00:00+00:00,0 days 16:00:00,,,,,,,,,
-1510,38,39,63.12,63.4,63.4,62.559999999999995,-804.8904000000018,382.09040000000005,-0.008444866920152037,2025-09-17 12:00:00+00:00,2025-09-17 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1501,43,48,62.93,62.35,63.22,62.35,494.48943999999744,376.09056,0.005235023041474615,2025-09-17 22:00:00+00:00,2025-09-18 08:00:00+00:00,0 days 10:00:00,,,,,,,,,
-1523,59,60,62.37,62.089999999999996,62.51,62.089999999999996,47.334840000001805,379.10515999999996,0.0004983164983164779,2025-09-19 06:00:00+00:00,2025-09-19 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
1535,71,72,61.91,61.7,61.7,62.329999999999984,-701.8326999999904,379.4827,-0.007385236633823177,2025-09-22 06:00:00+00:00,2025-09-22 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
-1540,75,76,61.25,61.48,61.48,60.790000000000006,-732.2083999999952,378.0084,-0.007762612244897826,2025-09-22 14:00:00+00:00,2025-09-22 16:00:00+00:00,0 days 02:00:00,,,61.29,,61.25,,,,
1527,77,82,61.29,61.11,,,-648.6695999999996,373.80960000000005,-0.00693098384728343,2025-09-22 18:00:00+00:00,2025-09-23 04:00:00+00:00,0 days 10:00:00,,,,,,,,,
-1517,82,84,61.27,61.61,61.61,60.59000000000001,-888.5979199999945,372.81792,-0.00956030683858315,2025-09-23 04:00:00+00:00,2025-09-23 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
1473,88,97,62.49,63.190000000000005,62.14,63.190000000000005,660.8467200000042,370.25328,0.007179388702192456,2025-09-23 16:00:00+00:00,2025-09-24 10:00:00+00:00,0 days 18:00:00,,,,,,,,,
1464,99,100,63.32,64.03999999999999,62.96,64.03999999999999,681.1699199999879,372.91008,0.007348073278584946,2025-09-24 14:00:00+00:00,2025-09-24 16:00:00+00:00,0 days 02:00:00,,,63.78,,63.63,,,,
1464,107,111,63.78,63.27,63.27,64.8,-1118.642399999997,372.00239999999997,-0.011980244590780773,2025-09-25 06:00:00+00:00,2025-09-25 14:00:00+00:00,0 days 08:00:00,,,,,,,,,
1434,116,120,64.34,63.93,63.93,65.16000000000001,-955.8183600000052,367.87836,-0.010359651849549284,2025-09-26 00:00:00+00:00,2025-09-26 08:00:00+00:00,0 days 08:00:00,,,,,,,,,
1412,124,127,64.69,64.24,,,-999.498320000004,364.09832,-0.01094234039264183,2025-09-26 16:00:00+00:00,2025-09-28 22:00:00+00:00,2 days 06:00:00,,,,,,,64.35,,64.41
