Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
26,9,12,3739.7,3756.499999999999,3731.3,3756.499999999999,46.99759999998116,389.8023999999999,0.0004833542797549762,2025-09-15 06:00:00+00:00,2025-09-15 12:00:00+00:00,0 days 06:00:00,,,,,,,,,
26,19,32,3774.1,3779.1,,,-262.7664,392.7664,-0.002677830476139959,2025-09-16 02:00:00+00:00,2025-09-17 04:00:00+00:00,1 days 02:00:00,,,,,,,,,
-26,32,38,3781.5,3779.4,,,-338.5668000000024,393.1668,-0.003443554145180487,2025-09-17 04:00:00+00:00,2025-09-17 16:00:00+00:00,0 days 12:00:00,,,,,,,,,
26,39,40,3772.7,3756.4,,3795.499999999999,-815.3131999999929,391.5132,-0.008311872134015321,2025-09-17 18:00:00+00:00,2025-09-17 20:00:00+00:00,0 days 02:00:00,,,,,,,3756.5,,3774.4
-26,41,48,3756.5,3761.2,,,-513.1203999999952,390.9204,-0.005253666977239502,2025-09-17 22:00:00+00:00,2025-09-18 12:00:00+00:00,0 days 14:00:00,,,,,,,,,
26,48,49,3758.4,3735.2,,3779.6,-992.8672000000072,389.66720000000004,-0.01016049382716052,2025-09-18 12:00:00+00:00,2025-09-18 14:00:00+00:00,0 days 02:00:00,,,,,,,3739.8,,3758.4
-25,50,57,3739.8,3745.6,,,-519.2699999999932,374.27,-0.005553986844216112,2025-09-18 16:00:00+00:00,2025-09-19 06:00:00+00:00,0 days 14:00:00,,,,,,,,,
25,57,62,3744.7,3772.0999999999995,3731.0,3772.0999999999995,309.15999999999093,375.84,0.0033023740219508746,2025-09-19 06:00:00+00:00,2025-09-19 16:00:00+00:00,0 days 10:00:00,,,3760.1,,3757.5,,,,
25,67,68,3781.2,3791.6,3778.7,3786.2,-118.63999999999771,378.64,-0.0012550513064634727,2025-09-22 02:00:00+00:00,2025-09-22 04:00:00+00:00,0 days 02:00:00,,,,,,,,,
25,72,74,3816.3,3833.7000000000007,3807.6,3833.7000000000007,52.50000000001364,382.5,0.0005502712050940934,2025-09-22 12:00:00+00:00,2025-09-22 16:00:00+00:00,0 days 04:00:00,,,3830.6,,3820.8,,,,
25,77,78,3838.6,3854.6,3830.6,3854.6,15.339999999999975,384.66,0.00015984994529251104,2025-09-22 22:00:00+00:00,2025-09-23 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
24,84,87,3874.9,3848.5,3848.5,3927.7000000000003,-1004.3232000000022,370.7232,-0.010799452889106786,2025-09-23 12:00:00+00:00,2025-09-23 18:00:00+00:00,0 days 06:00:00,,,,,,,,,
24,94,95,3863.8,3857.2,3857.2,3877.000000000001,-529.0080000000087,370.608,-0.005704746622496036,2025-09-24 08:00:00+00:00,2025-09-24 10:00:00+00:00,0 days 02:00:00,,,,,,,,,
-24,100,102,3828.9,3840.0,3840.0,3806.7000000000003,-634.5071999999979,368.10720000000003,-0.006904802946015766,2025-09-24 20:00:00+00:00,2025-09-25 00:00:00+00:00,0 days 04:00:00,,,,,,,,,
24,107,108,3841.7,3829.6,3829.6,3865.8999999999996,-658.6223999999978,368.2224,-0.007143347996980513,2025-09-25 10:00:00+00:00,2025-09-25 12:00:00+00:00,0 days 02:00:00,,,,,,,,,
-24,110,111,3830.8,3848.7,3848.7,3795.000000000001,-798.2159999999913,368.616,-0.008681998538164364,2025-09-25 16:00:00+00:00,2025-09-25 18:00:00+00:00,0 days 02:00:00,,,,,,,,,
24,113,114,3838.4,3828.9,3828.9,3857.4,-596.0304,368.0304,-0.0064700395998333,2025-09-25 22:00:00+00:00,2025-09-26 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
23,123,124,3862.9,3853.6,3853.6,3881.5000000000005,-568.8590000000042,354.959,-0.006402702632737087,2025-09-26 18:00:00+00:00,2025-09-26 20:00:00+00:00,0 days 02:00:00,,,,,,,3860.7,,3862.9
-23,125,126,3860.7,3875.4,3875.4,3831.2999999999993,-693.9606000000063,355.8606,-0.00781521485740926,2025-09-28 22:00:00+00:00,2025-09-29 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
23,141,142,3953.5,3934.1,3934.1,3992.3,-809.0296000000021,362.8296,-0.008897230302263854,2025-09-30 06:00:00+00:00,2025-09-30 08:00:00+00:00,0 days 02:00:00,,,,,,,3938.7,,3953.5
-23,144,145,3907.9,3938.7,3938.7,3846.3000000000006,-1069.3435999999938,360.94359999999995,-0.011897233808439288,2025-09-30 12:00:00+00:00,2025-09-30 14:00:00+00:00,0 days 02:00:00,,,3911.4,,3907.9,,,,
22,155,162,3970.7,3943.5,3943.5,4025.0999999999995,-946.624799999996,348.2248,-0.010836477195456719,2025-10-01 10:00:00+00:00,2025-10-02 00:00:00+00:00,0 days 14:00:00,,,,,,,,,
22,168,169,3964.8,3953.1,3953.1,3988.2000000000007,-605.787600000006,348.3876,-0.006945066585956468,2025-10-02 12:00:00+00:00,2025-10-02 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
-22,171,173,3934.9,3943.6,,,-538.053999999996,346.654,-0.006215405728226798,2025-10-02 18:00:00+00:00,2025-10-02 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
22,173,175,3941.2,3930.8,3930.8,3961.999999999999,-575.167999999992,346.36800000000005,-0.00663351263574539,2025-10-02 22:00:00+00:00,2025-10-03 02:00:00+00:00,0 days 04:00:00,,,,,,,,,
21,189,190,4016.1,4034.4999999999995,4006.9,4034.4999999999995,48.27479999999241,338.12519999999995,0.0005723961056744876,2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+00:00,0 days 02:00:00,,,,,,,,,
21,221,222,4109.4,4095.7,,4122.4,-632.3141999999962,344.6142,-0.007327152382342915,2025-10-08 22:00:00+00:00,2025-10-09 00:00:00+00:00,0 days 02:00:00,,,,,,,4123.1,,4124.8
-20,224,225,4123.1,4107.700000000001,4130.8,4107.700000000001,-21.232000000007304,329.232,-0.00025747617084245084,2025-10-09 04:00:00+00:00,2025-10-09 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
-21,233,240,4061.6,4067.6,,,-467.42639999999994,341.42639999999994,-0.0054802048453812,2025-10-09 22:00:00+00:00,2025-10-10 12:00:00+00:00,0 days 14:00:00,,,,,,,,,
21,240,241,4064.0,4096.6,4047.7,4096.6,341.8548000000076,342.74520000000007,0.004005610236220468,2025-10-10 12:00:00+00:00,2025-10-10 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
21,245,246,4083.8,4137.3,4063.8,4137.3,778.2138,345.2862,0.00907434252411959,2025-10-12 22:00:00+00:00,2025-10-13 00:00:00+00:00,0 days 02:00:00,,,4108.0,,4104.3,,,,
20,255,257,4186.9,4206.499999999998,4177.1,4206.499999999998,56.26399999997096,335.73599999999993,0.0006719052282114163,2025-10-13 18:00:00+00:00,2025-10-13 22:00:00+00:00,0 days 04:00:00,,,,,,,,,
20,260,261,4221.4,4202.7,,4255.4,-710.9639999999963,336.964,-0.008420950395603314,2025-10-14 04:00:00+00:00,2025-10-14 06:00:00+00:00,0 days 02:00:00,,,,,,,4214.8,,4221.4
-20,262,270,4214.8,4259.2,4259.2,4126.000000000001,-1226.9599999999928,338.96000000000004,-0.014555376293062548,2025-10-14 08:00:00+00:00,2025-10-15 00:00:00+00:00,0 days 16:00:00,,,4239.6,,4231.6,,,,
19,274,275,4254.2,4283.399999999999,4239.6,4283.399999999999,230.3711999999793,324.42879999999997,0.002850077570400826,2025-10-15 08:00:00+00:00,2025-10-15 10:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,281,282,4291.0,4309.799999999999,4281.6,4309.799999999999,30.369599999986235,326.83039999999994,0.00037250058261458115,2025-10-15 22:00:00+00:00,2025-10-16 00:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,284,285,4308.3,4287.1,4287.1,4350.7,-729.4251999999965,326.6252,-0.008910892927604823,2025-10-16 04:00:00+00:00,2025-10-16 06:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,288,289,4319.2,4344.999999999999,4306.3,4344.999999999999,160.96039999998618,329.2396,0.001961381737358699,2025-10-16 12:00:00+00:00,2025-10-16 14:00:00+00:00,0 days 02:00:00,,,,,,,,,
19,294,296,4412.2,4452.2,4392.2,4452.2,423.15279999999996,336.84720000000004,0.005047640632790924,2025-10-17 00:00:00+00:00,2025-10-17 04:00:00+00:00,0 days 04:00:00,,,,,,,,,
-19,304,305,4328.4,4357.2,4357.2,4270.799999999999,-877.2528000000034,330.0528,-0.010667036318270144,2025-10-17 20:00:00+00:00,2025-10-19 22:00:00+00:00,2 days 02:00:00,,,,,,,,,
