Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_Bullish FVG Top,Exit_Bullish FVG Top,Entry_Bullish FVG Bottom,Exit_Bullish FVG Bottom,Entry_Bearish FVG Bottom,Exit_Bearish FVG Bottom,Entry_Bearish FVG Top,Exit_Bearish FVG Top
2278,10,15,43.795,43.725,,,-558.2011200000006,398.74112,-0.005595159264756234,2025-09-16 00:00:00+00:00,2025-09-16 20:00:00+00:00,0 days 20:00:00,,,,,,,,,
-2306,19,20,43.02,43.36,43.36,42.34000000000001,-1182.4245599999915,398.3845600000001,-0.01191910739191063,2025-09-17 12:00:00+00:00,2025-09-17 16:00:00+00:00,0 days 04:00:00,,,,,,,,,
2195,38,39,44.66,45.18999999999998,44.395,45.18999999999998,768.9084999999714,394.4414999999999,0.007843708016121578,2025-09-22 12:00:00+00:00,2025-09-22 16:00:00+00:00,0 days 04:00:00,,,45.03,,45.02,,,,
2190,41,42,45.125,45.03,45.03,45.315,-602.9288999999976,394.87890000000004,-0.006101052631578932,2025-09-23 00:00:00+00:00,2025-09-23 04:00:00+00:00,0 days 04:00:00,,,,,,,,,
2147,56,62,45.745,47.14499999999999,45.045,47.14499999999999,2606.9303399999817,398.86965999999995,0.0265432287681713,2025-09-25 12:00:00+00:00,2025-09-26 12:00:00+00:00,1 days 00:00:00,,,,,,,,,
2112,69,74,47.73,47.22,47.22,48.74999999999999,-1478.1887999999958,401.0688,-0.014663733500942792,2025-09-29 12:00:00+00:00,2025-09-30 08:00:00+00:00,0 days 20:00:00,,,,,,,,,
2077,79,80,47.815,48.435,47.675,48.095,887.9175000000093,399.8225,0.008940708982536974,2025-10-01 04:00:00+00:00,2025-10-01 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
-2097,89,93,47.795,48.405,,,-1682.6327999999987,403.4628,-0.016788366983994163,2025-10-02 20:00:00+00:00,2025-10-03 12:00:00+00:00,0 days 16:00:00,,,48.305,,48.25,,,,
2025,104,105,48.66,49.36999999999999,48.305,49.36999999999999,1040.7284999999874,397.02149999999995,0.010561857788738038,2025-10-07 04:00:00+00:00,2025-10-07 08:00:00+00:00,0 days 04:00:00,,,,,,,,,
2013,112,113,49.455,50.065,49.15,50.065,827.262479999999,400.66751999999997,0.008309776564553653,2025-10-08 12:00:00+00:00,2025-10-08 16:00:00+00:00,0 days 04:00:00,,,,,,,,,
